  ARS_name        A4        B4        C4        D4        E4        F4        G4        H4        A5        B5        C5        D5        E5        F5        G5        H5        A6        B6        C6        D6        E6        F6        G6        H6        I6        J6        K6        L6        A7        B7        C7        D7        E7        F7        G7        H7        I7        J7        K7        L7      H7_c      I7_c      J7_c      K7_c      L7_c        A8        B8        C8        D8        E8        F8        I8        J8        K8        L8        M8        N8       A10       B10       C10       D10       E10       F10       G10       H10
    ARS214     0.579     0.661     0.961     0.947     0.620     0.603     0.914     0.838     0.800     0.803     0.835     0.861     0.525     0.780     0.454     0.655     0.872     0.654     0.858     0.917     0.580     0.859     0.967     0.718       NaN     1.062     1.088     0.866     0.599     0.619     0.934     0.924     0.694       NaN     0.542     0.689     0.870       NaN       NaN       NaN     0.689     0.874       NaN       NaN       NaN     0.570     0.852     0.970     0.901     1.013     0.860       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS215       NaN       NaN     0.148     0.506       NaN       NaN     0.241     0.725       NaN     0.295       NaN     0.360       NaN       NaN       NaN     0.267       NaN       NaN       NaN       NaN       NaN       NaN     0.034     0.025       NaN     0.303     0.521     0.740       NaN       NaN     0.192     0.585       NaN       NaN       NaN       NaN     1.015       NaN       NaN       NaN       NaN     1.019       NaN       NaN       NaN     0.014     0.082     0.337     0.253     0.517     0.806       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS215.5     0.005     0.008     0.013     0.015     0.023     0.012     0.023     0.030     0.009     0.009     0.008     0.014       NaN     0.015       NaN     0.011     0.015     0.015     0.064     0.012       NaN     0.014     0.011     0.009     0.005     0.017     0.016     0.017     0.004     0.006     0.011     0.012       NaN       NaN     0.005     0.006     0.017       NaN       NaN       NaN     0.006     0.017       NaN       NaN       NaN     0.004     0.007     0.028     0.008     0.021     0.022       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.047       NaN       NaN     0.051     0.051
    ARS216     0.253     0.321     0.850     1.011     0.459     0.398     1.019     1.136     0.536     0.496     0.560     0.556     0.342     0.578     0.289     0.476     0.591     0.417     0.727     0.658     0.362     0.625     0.558     0.353     0.274     0.766     1.156     1.010     0.248     0.279     0.795     0.924     0.402       NaN     0.349     0.392     0.978     0.742     0.472       NaN     0.392     0.982     0.742     0.549       NaN     0.407     0.882     1.017     0.789     1.070     1.094       NaN       NaN       NaN     0.588       NaN       NaN       NaN     0.434     0.780     0.783       NaN       NaN     0.879     0.813
    ARS217     0.006     0.023     0.025     0.190     0.023     0.045     0.093     0.403     0.015     0.042     0.011     0.069       NaN     0.076       NaN     0.050     0.025     0.027     0.123     0.080     0.033     0.073     0.012     0.009     0.007     0.036     0.203     0.323     0.005     0.015     0.038     0.217     0.022       NaN     0.011       NaN     0.410       NaN     0.382     0.213       NaN     0.412       NaN     0.444     0.227     0.004     0.029     0.169     0.047     0.188     0.410       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.068       NaN     0.150       NaN       NaN     0.106     0.265
    ARS218     0.007     0.041     0.038     0.160     0.028     0.070     0.091     0.312     0.028     0.093     0.019     0.102     0.018     0.145     0.008     0.083     0.040     0.033     0.118     0.156     0.050     0.134     0.014     0.009     0.009     0.095     0.175     0.285     0.005     0.038     0.039     0.191     0.022       NaN     0.016     0.010     0.374       NaN     0.334     0.287     0.010     0.376       NaN     0.388     0.306     0.005     0.036     0.173     0.109     0.170     0.379     0.040       NaN       NaN     0.136       NaN       NaN       NaN     0.083     0.061     0.201       NaN       NaN     0.119     0.284
    ARS219       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS219.5       NaN       NaN     0.058     0.040       NaN       NaN     0.069     0.071       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.013       NaN       NaN     0.024     0.053     0.066       NaN       NaN     0.061     0.040       NaN       NaN       NaN       NaN     0.052       NaN       NaN       NaN       NaN     0.053       NaN       NaN       NaN       NaN     0.043     0.105       NaN     0.041     0.056       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS220     0.415     0.551     0.828     1.046     0.474     0.646     0.946     1.096     0.827     0.955     0.850     0.947     0.692     0.966     0.641     0.931     0.796     0.630     1.010     0.967     0.743     0.947     1.023     0.656     0.482     1.401     1.246     1.043       NaN     0.590     0.894     1.084     0.518       NaN       NaN       NaN     1.146       NaN       NaN       NaN       NaN     1.150       NaN       NaN       NaN     0.837     0.871     1.015     1.029     1.075     1.021       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS221       NaN       NaN     0.504     0.502       NaN       NaN     0.560     0.579     0.236     0.217     0.226     0.247       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.181     0.141     0.171     0.211     0.430     0.481       NaN       NaN     0.574     0.480       NaN       NaN       NaN       NaN     0.520       NaN       NaN       NaN       NaN     0.522       NaN       NaN       NaN     0.148     0.430     0.658     0.186     0.389     0.500       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
